Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimer
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 284: loss 2.5743, time 523.43ms, mfu 0.03%
iter 285: loss 2.5643, time 508.23ms, mfu 0.03%
iter 286: loss 2.6303, time 465.93ms, mfu 0.03%
iter 287: loss 2.6577, time 515.70ms, mfu 0.03%
iter 288: loss 2.5462, time 521.17ms, mfu 0.03%
iter 289: loss 2.5439, time 655.65ms, mfu 0.03%
iter 290: loss 2.5595, time 525.98ms, mfu 0.03%
iter 291: loss 2.5735, time 482.47ms, mfu 0.03%
iter 292: loss 2.5820, time 502.27ms, mfu 0.03%
iter 293: loss 2.5646, time 499.94ms, mfu 0.03%
iter 294: loss 2.5839, time 499.49ms, mfu 0.03%
iter 295: loss 2.5561, time 456.79ms, mfu 0.03%
iter 296: loss 2.6128, time 491.48ms, mfu 0.03%
iter 297: loss 2.5836, time 472.92ms, mfu 0.03%
iter 298: loss 2.6354, time 531.58ms, mfu 0.03%
iter 299: loss 2.6324, time 763.96ms, mfu 0.03%
iter 300: loss 2.5025, time 440.60ms, mfu 0.03%
iter 301: loss 2.6179, time 520.43ms, mfu 0.03%
iter 302: loss 2.5817, time 500.11ms, mfu 0.03%
iter 303: loss 2.5618, time 516.25ms, mfu 0.03%
iter 304: loss 2.6259, time 470.32ms, mfu 0.03%
iter 305: loss 2.5800, time 537.90ms, mfu 0.03%
iter 306: loss 2.5685, time 467.71ms, mfu 0.03%
iter 307: loss 2.5912, time 565.04ms, mfu 0.03%
iter 308: loss 2.5524, time 465.38ms, mfu 0.03%
iter 309: loss 2.6656, time 769.34ms, mfu 0.03%
iter 310: loss 2.6409, time 488.78ms, mfu 0.03%
iter 311: loss 2.5888, time 491.98ms, mfu 0.03%
iter 312: loss 2.5240, time 488.70ms, mfu 0.03%
iter 313: loss 2.5739, time 425.84ms, mfu 0.03%
iter 314: loss 2.5904, time 451.01ms, mfu 0.03%
iter 315: loss 2.6524, time 473.70ms, mfu 0.03%
iter 316: loss 2.5889, time 421.78ms, mfu 0.03%
iter 317: loss 2.5396, time 482.28ms, mfu 0.03%
iter 318: loss 2.5977, time 495.72ms, mfu 0.03%
iter 319: loss 2.5881, time 684.82ms, mfu 0.03%
iter 320: loss 2.5062, time 513.25ms, mfu 0.03%
iter 321: loss 2.5272, time 490.39ms, mfu 0.03%
