Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimerSgd
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 197: loss 3.5006, time 360.76ms, mfu 0.04%
iter 198: loss 3.4600, time 425.40ms, mfu 0.04%
iter 199: loss 3.3682, time 628.95ms, mfu 0.04%
iter 200: loss 3.3600, time 443.38ms, mfu 0.04%
iter 201: loss 3.3457, time 354.39ms, mfu 0.04%
iter 202: loss 3.3508, time 407.63ms, mfu 0.04%
iter 203: loss 3.4185, time 408.73ms, mfu 0.04%
iter 204: loss 3.5130, time 352.94ms, mfu 0.04%
iter 205: loss 3.4058, time 414.23ms, mfu 0.04%
iter 206: loss 3.3665, time 363.94ms, mfu 0.04%
iter 207: loss 3.3892, time 413.37ms, mfu 0.04%
iter 208: loss 3.3914, time 347.10ms, mfu 0.04%
iter 209: loss 3.4194, time 629.91ms, mfu 0.04%
iter 210: loss 3.4128, time 407.30ms, mfu 0.04%
iter 211: loss 3.4805, time 375.87ms, mfu 0.04%
iter 212: loss 3.3442, time 371.90ms, mfu 0.04%
iter 213: loss 3.3432, time 390.89ms, mfu 0.04%
iter 214: loss 3.3804, time 387.96ms, mfu 0.04%
iter 215: loss 3.4296, time 374.48ms, mfu 0.04%
iter 216: loss 3.4074, time 402.51ms, mfu 0.04%
iter 217: loss 3.3696, time 378.25ms, mfu 0.04%
iter 218: loss 3.4441, time 345.85ms, mfu 0.04%
iter 219: loss 3.3865, time 642.48ms, mfu 0.04%
iter 220: loss 3.4267, time 401.71ms, mfu 0.04%
iter 221: loss 3.4342, time 366.51ms, mfu 0.04%
iter 222: loss 3.3540, time 428.03ms, mfu 0.04%
iter 223: loss 3.3301, time 421.99ms, mfu 0.04%
iter 224: loss 3.3172, time 433.52ms, mfu 0.04%
iter 225: loss 3.4355, time 399.17ms, mfu 0.04%
iter 226: loss 3.4591, time 365.23ms, mfu 0.04%
iter 227: loss 3.3802, time 385.33ms, mfu 0.04%
iter 228: loss 3.4013, time 396.70ms, mfu 0.04%
iter 229: loss 3.4347, time 595.45ms, mfu 0.04%
iter 230: loss 3.3657, time 421.37ms, mfu 0.04%
iter 231: loss 3.3782, time 383.84ms, mfu 0.04%
iter 232: loss 3.4417, time 333.40ms, mfu 0.04%
iter 233: loss 3.4127, time 383.31ms, mfu 0.04%
iter 234: loss 3.3505, time 429.19ms, mfu 0.04%
iter 235: loss 3.3529, time 405.01ms, mfu 0.04%
iter 236: loss 3.4137, time 388.65ms, mfu 0.04%
iter 237: loss 3.3263, time 432.87ms, mfu 0.04%
iter 238: loss 3.3747, time 408.21ms, mfu 0.04%
iter 239: loss 3.3826, time 583.82ms, mfu 0.04%
iter 240: loss 3.4931, time 450.41ms, mfu 0.04%
iter 241: loss 3.3122, time 374.81ms, mfu 0.04%
iter 242: loss 3.3603, time 415.37ms, mfu 0.04%
iter 243: loss 3.3279, time 374.37ms, mfu 0.04%
iter 244: loss 3.3337, time 383.97ms, mfu 0.04%
iter 245: loss 3.3819, time 401.92ms, mfu 0.04%
iter 246: loss 3.2777, time 405.08ms, mfu 0.04%
iter 247: loss 3.2855, time 429.83ms, mfu 0.04%
iter 248: loss 3.3311, time 382.73ms, mfu 0.04%
iter 249: loss 3.3572, time 668.87ms, mfu 0.04%
step 250: train loss 3.3619, val loss 3.3690
saving checkpoint to out-shakespeare-char
iter 250: loss 3.4207, time 4928.88ms, mfu 0.03%
iter 251: loss 3.3840, time 394.54ms, mfu 0.04%
iter 252: loss 3.3998, time 365.79ms, mfu 0.04%
iter 253: loss 3.3630, time 390.95ms, mfu 0.04%
iter 254: loss 3.3985, time 402.85ms, mfu 0.04%
iter 255: loss 3.3118, time 388.14ms, mfu 0.04%
iter 256: loss 3.2911, time 347.47ms, mfu 0.04%
iter 257: loss 3.3713, time 397.95ms, mfu 0.04%
iter 258: loss 3.3639, time 402.38ms, mfu 0.04%
iter 259: loss 3.3964, time 687.79ms, mfu 0.04%
iter 260: loss 3.3165, time 366.53ms, mfu 0.04%
iter 261: loss 3.3012, time 394.16ms, mfu 0.04%
iter 262: loss 3.4050, time 387.32ms, mfu 0.04%
iter 263: loss 3.4065, time 315.88ms, mfu 0.04%
iter 264: loss 3.4363, time 387.81ms, mfu 0.04%
iter 265: loss 3.3434, time 393.59ms, mfu 0.04%
iter 266: loss 3.3281, time 424.37ms, mfu 0.04%
iter 267: loss 3.3781, time 414.73ms, mfu 0.04%
iter 268: loss 3.4120, time 367.23ms, mfu 0.04%
iter 269: loss 3.3237, time 590.59ms, mfu 0.04%
iter 270: loss 3.3606, time 370.43ms, mfu 0.04%
iter 271: loss 3.2524, time 398.82ms, mfu 0.04%
iter 272: loss 3.3461, time 379.23ms, mfu 0.04%
iter 273: loss 3.3488, time 387.92ms, mfu 0.04%
iter 274: loss 3.3525, time 359.14ms, mfu 0.04%
iter 275: loss 3.2640, time 397.97ms, mfu 0.04%
iter 276: loss 3.3079, time 371.41ms, mfu 0.04%
iter 277: loss 3.3911, time 421.89ms, mfu 0.04%
iter 278: loss 3.3028, time 385.89ms, mfu 0.04%
iter 279: loss 3.3031, time 616.73ms, mfu 0.04%
iter 280: loss 3.3882, time 376.76ms, mfu 0.04%
iter 281: loss 3.3322, time 378.28ms, mfu 0.04%
iter 282: loss 3.3173, time 361.43ms, mfu 0.04%
iter 283: loss 3.2507, time 346.04ms, mfu 0.04%
iter 284: loss 3.3318, time 397.43ms, mfu 0.04%
iter 285: loss 3.3169, time 363.39ms, mfu 0.04%
iter 286: loss 3.2641, time 411.13ms, mfu 0.04%
iter 287: loss 3.3713, time 350.04ms, mfu 0.04%
iter 288: loss 3.2899, time 399.36ms, mfu 0.04%
iter 289: loss 3.3189, time 567.77ms, mfu 0.04%
iter 290: loss 3.3329, time 360.97ms, mfu 0.04%
iter 291: loss 3.2668, time 322.44ms, mfu 0.04%
iter 292: loss 3.2848, time 369.30ms, mfu 0.04%
iter 293: loss 3.3052, time 384.69ms, mfu 0.04%
iter 294: loss 3.3148, time 425.34ms, mfu 0.04%
iter 295: loss 3.2430, time 388.41ms, mfu 0.04%
iter 296: loss 3.2574, time 378.89ms, mfu 0.04%
iter 297: loss 3.3172, time 381.55ms, mfu 0.04%
iter 298: loss 3.2964, time 413.59ms, mfu 0.04%
iter 299: loss 3.2977, time 620.42ms, mfu 0.04%
iter 300: loss 3.2403, time 451.83ms, mfu 0.04%
iter 301: loss 3.3144, time 404.58ms, mfu 0.04%
iter 302: loss 3.2098, time 358.54ms, mfu 0.04%
iter 303: loss 3.2429, time 412.93ms, mfu 0.04%
iter 304: loss 3.2449, time 427.50ms, mfu 0.04%
iter 305: loss 3.2956, time 400.38ms, mfu 0.04%
iter 306: loss 3.3538, time 399.89ms, mfu 0.04%
iter 307: loss 3.2580, time 351.38ms, mfu 0.04%
iter 308: loss 3.2813, time 345.24ms, mfu 0.04%
iter 309: loss 3.3817, time 618.37ms, mfu 0.04%
iter 310: loss 3.2219, time 379.16ms, mfu 0.04%
iter 311: loss 3.2746, time 345.26ms, mfu 0.04%
iter 312: loss 3.2458, time 398.17ms, mfu 0.04%
iter 313: loss 3.2879, time 352.15ms, mfu 0.04%
iter 314: loss 3.3296, time 375.06ms, mfu 0.04%
iter 315: loss 3.3040, time 440.02ms, mfu 0.04%
iter 316: loss 3.3248, time 389.53ms, mfu 0.04%
iter 317: loss 3.1679, time 350.81ms, mfu 0.04%
iter 318: loss 3.2794, time 417.76ms, mfu 0.04%
iter 319: loss 3.3550, time 617.85ms, mfu 0.04%
iter 320: loss 3.2279, time 405.50ms, mfu 0.04%
iter 321: loss 3.3256, time 381.69ms, mfu 0.04%
iter 322: loss 3.2207, time 403.55ms, mfu 0.04%
iter 323: loss 3.3529, time 388.74ms, mfu 0.04%
iter 324: loss 3.2710, time 318.64ms, mfu 0.04%
iter 325: loss 3.2912, time 346.83ms, mfu 0.04%
iter 326: loss 3.2197, time 413.08ms, mfu 0.04%
iter 327: loss 3.3454, time 421.71ms, mfu 0.04%
iter 328: loss 3.2163, time 367.40ms, mfu 0.04%
iter 329: loss 3.3886, time 593.34ms, mfu 0.04%
iter 330: loss 3.2511, time 336.35ms, mfu 0.04%
iter 331: loss 3.2061, time 367.87ms, mfu 0.04%
iter 332: loss 3.2766, time 359.93ms, mfu 0.04%
iter 333: loss 3.2710, time 380.40ms, mfu 0.04%
iter 334: loss 3.2678, time 354.73ms, mfu 0.04%
iter 335: loss 3.3276, time 399.69ms, mfu 0.04%
iter 336: loss 3.2687, time 403.49ms, mfu 0.04%
iter 337: loss 3.2305, time 400.28ms, mfu 0.04%
iter 338: loss 3.1738, time 421.13ms, mfu 0.04%
iter 339: loss 3.2638, time 552.96ms, mfu 0.04%
iter 340: loss 3.2310, time 399.26ms, mfu 0.04%
iter 341: loss 3.3046, time 406.29ms, mfu 0.04%
iter 342: loss 3.2283, time 390.26ms, mfu 0.04%
iter 343: loss 3.2609, time 365.81ms, mfu 0.04%
iter 344: loss 3.1455, time 334.96ms, mfu 0.04%
iter 345: loss 3.2542, time 390.60ms, mfu 0.04%
