Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimerAdam
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 295: loss 2.2333, time 446.51ms, mfu 0.03%
iter 296: loss 2.2885, time 497.06ms, mfu 0.03%
iter 297: loss 2.2118, time 463.55ms, mfu 0.03%
iter 298: loss 2.2769, time 481.33ms, mfu 0.03%
iter 299: loss 2.2338, time 647.05ms, mfu 0.03%
iter 300: loss 2.1053, time 428.75ms, mfu 0.03%
iter 301: loss 2.2490, time 477.68ms, mfu 0.03%
iter 302: loss 2.2452, time 484.89ms, mfu 0.03%
iter 303: loss 2.1731, time 456.57ms, mfu 0.03%
iter 304: loss 2.2073, time 528.93ms, mfu 0.03%
iter 305: loss 2.2181, time 438.70ms, mfu 0.03%
iter 306: loss 2.1539, time 430.71ms, mfu 0.03%
iter 307: loss 2.2465, time 419.51ms, mfu 0.03%
iter 308: loss 2.1905, time 498.89ms, mfu 0.03%
iter 309: loss 2.2112, time 688.51ms, mfu 0.03%
iter 310: loss 2.2254, time 403.64ms, mfu 0.03%
iter 311: loss 2.1956, time 413.01ms, mfu 0.03%
iter 312: loss 2.0950, time 435.68ms, mfu 0.03%
iter 313: loss 2.1238, time 446.48ms, mfu 0.03%
iter 314: loss 2.1950, time 439.36ms, mfu 0.04%
iter 315: loss 2.2408, time 478.32ms, mfu 0.04%
iter 316: loss 2.2006, time 411.38ms, mfu 0.04%
iter 317: loss 2.2004, time 404.24ms, mfu 0.04%
iter 318: loss 2.2750, time 473.63ms, mfu 0.04%
iter 319: loss 2.1264, time 705.29ms, mfu 0.03%
iter 320: loss 2.1361, time 508.69ms, mfu 0.03%
iter 321: loss 2.0967, time 444.48ms, mfu 0.03%
iter 322: loss 2.1380, time 446.10ms, mfu 0.03%
iter 323: loss 2.1890, time 434.01ms, mfu 0.03%
iter 324: loss 2.2547, time 405.96ms, mfu 0.04%
iter 325: loss 2.1343, time 460.23ms, mfu 0.04%
iter 326: loss 2.1288, time 419.59ms, mfu 0.04%
iter 327: loss 2.2154, time 442.32ms, mfu 0.04%
iter 328: loss 2.1435, time 430.72ms, mfu 0.04%
iter 329: loss 2.1805, time 722.51ms, mfu 0.03%
iter 330: loss 2.1349, time 466.63ms, mfu 0.03%
iter 331: loss 2.1174, time 385.96ms, mfu 0.04%
iter 332: loss 2.1281, time 430.12ms, mfu 0.04%
iter 333: loss 2.1129, time 426.15ms, mfu 0.04%
iter 334: loss 2.2078, time 437.27ms, mfu 0.04%
iter 335: loss 2.1704, time 451.31ms, mfu 0.04%
iter 336: loss 2.2493, time 387.54ms, mfu 0.04%
iter 337: loss 2.2429, time 413.87ms, mfu 0.04%
iter 338: loss 2.2027, time 412.50ms, mfu 0.04%
iter 339: loss 2.1116, time 708.85ms, mfu 0.04%
iter 340: loss 2.1264, time 438.90ms, mfu 0.04%
iter 341: loss 2.0946, time 428.50ms, mfu 0.04%
iter 342: loss 2.1336, time 459.75ms, mfu 0.04%
iter 343: loss 2.1586, time 444.72ms, mfu 0.04%
iter 344: loss 2.1536, time 465.95ms, mfu 0.04%
iter 345: loss 2.2489, time 455.11ms, mfu 0.04%
