Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = sgd
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 194: loss 3.4818, time 290.11ms, mfu 0.05%
iter 195: loss 3.4635, time 263.45ms, mfu 0.05%
iter 196: loss 3.4192, time 311.65ms, mfu 0.05%
iter 197: loss 3.4023, time 301.71ms, mfu 0.05%
iter 198: loss 3.5153, time 271.98ms, mfu 0.05%
iter 199: loss 3.4423, time 323.31ms, mfu 0.05%
iter 200: loss 3.4754, time 274.43ms, mfu 0.05%
iter 201: loss 3.3789, time 306.99ms, mfu 0.05%
iter 202: loss 3.4605, time 302.55ms, mfu 0.05%
iter 203: loss 3.4635, time 311.18ms, mfu 0.05%
iter 204: loss 3.3998, time 286.44ms, mfu 0.05%
iter 205: loss 3.4330, time 266.46ms, mfu 0.05%
iter 206: loss 3.4313, time 311.47ms, mfu 0.05%
iter 207: loss 3.4272, time 332.25ms, mfu 0.05%
iter 208: loss 3.4936, time 359.85ms, mfu 0.05%
iter 209: loss 3.5262, time 328.37ms, mfu 0.05%
iter 210: loss 3.4052, time 265.31ms, mfu 0.05%
iter 211: loss 3.4187, time 312.41ms, mfu 0.05%
iter 212: loss 3.4504, time 307.99ms, mfu 0.05%
iter 213: loss 3.4174, time 309.27ms, mfu 0.05%
iter 214: loss 3.4722, time 360.34ms, mfu 0.05%
iter 215: loss 3.3877, time 330.81ms, mfu 0.05%
iter 216: loss 3.4161, time 274.89ms, mfu 0.05%
iter 217: loss 3.3617, time 287.65ms, mfu 0.05%
iter 218: loss 3.4324, time 295.12ms, mfu 0.05%
iter 219: loss 3.3837, time 292.62ms, mfu 0.05%
iter 220: loss 3.3746, time 305.99ms, mfu 0.05%
iter 221: loss 3.4065, time 352.59ms, mfu 0.05%
iter 222: loss 3.3502, time 328.23ms, mfu 0.05%
iter 223: loss 3.3461, time 282.94ms, mfu 0.05%
iter 224: loss 3.3833, time 292.86ms, mfu 0.05%
iter 225: loss 3.3638, time 342.56ms, mfu 0.05%
iter 226: loss 3.3305, time 296.78ms, mfu 0.05%
iter 227: loss 3.4308, time 295.24ms, mfu 0.05%
iter 228: loss 3.3622, time 357.14ms, mfu 0.05%
iter 229: loss 3.3697, time 313.93ms, mfu 0.05%
iter 230: loss 3.3042, time 292.33ms, mfu 0.05%
iter 231: loss 3.3787, time 316.49ms, mfu 0.05%
iter 232: loss 3.3261, time 324.35ms, mfu 0.05%
iter 233: loss 3.3961, time 289.45ms, mfu 0.05%
iter 234: loss 3.3496, time 345.01ms, mfu 0.05%
iter 235: loss 3.3068, time 289.10ms, mfu 0.05%
iter 236: loss 3.3400, time 305.42ms, mfu 0.05%
iter 237: loss 3.4105, time 279.71ms, mfu 0.05%
iter 238: loss 3.3545, time 292.28ms, mfu 0.05%
iter 239: loss 3.4135, time 320.04ms, mfu 0.05%
iter 240: loss 3.3113, time 321.11ms, mfu 0.05%
iter 241: loss 3.3468, time 320.01ms, mfu 0.05%
iter 242: loss 3.3272, time 319.73ms, mfu 0.05%
iter 243: loss 3.3633, time 347.40ms, mfu 0.05%
iter 244: loss 3.3751, time 313.20ms, mfu 0.05%
iter 245: loss 3.3506, time 316.32ms, mfu 0.05%
iter 246: loss 3.3132, time 290.03ms, mfu 0.05%
iter 247: loss 3.3483, time 302.46ms, mfu 0.05%
iter 248: loss 3.3315, time 310.82ms, mfu 0.05%
iter 249: loss 3.3504, time 273.54ms, mfu 0.05%
step 250: train loss 3.3507, val loss 3.3999
saving checkpoint to out-shakespeare-char
iter 250: loss 3.3173, time 5172.90ms, mfu 0.05%
iter 251: loss 3.3631, time 300.43ms, mfu 0.05%
iter 252: loss 3.4072, time 290.42ms, mfu 0.05%
iter 253: loss 3.4256, time 288.91ms, mfu 0.05%
iter 254: loss 3.3478, time 290.18ms, mfu 0.05%
iter 255: loss 3.3568, time 313.76ms, mfu 0.05%
iter 256: loss 3.3396, time 329.78ms, mfu 0.05%
iter 257: loss 3.4103, time 301.76ms, mfu 0.05%
iter 258: loss 3.2558, time 303.63ms, mfu 0.05%
iter 259: loss 3.3641, time 295.51ms, mfu 0.05%
iter 260: loss 3.3538, time 293.21ms, mfu 0.05%
iter 261: loss 3.3098, time 284.21ms, mfu 0.05%
iter 262: loss 3.3000, time 324.27ms, mfu 0.05%
iter 263: loss 3.3303, time 320.44ms, mfu 0.05%
iter 264: loss 3.3373, time 293.85ms, mfu 0.05%
iter 265: loss 3.4391, time 324.22ms, mfu 0.05%
iter 266: loss 3.2900, time 292.79ms, mfu 0.05%
iter 267: loss 3.3029, time 292.67ms, mfu 0.05%
iter 268: loss 3.3068, time 279.34ms, mfu 0.05%
iter 269: loss 3.3254, time 332.32ms, mfu 0.05%
iter 270: loss 3.2178, time 324.17ms, mfu 0.05%
iter 271: loss 3.4398, time 301.29ms, mfu 0.05%
iter 272: loss 3.3144, time 365.68ms, mfu 0.05%
iter 273: loss 3.2320, time 279.16ms, mfu 0.05%
iter 274: loss 3.3657, time 269.47ms, mfu 0.05%
iter 275: loss 3.3655, time 289.09ms, mfu 0.05%
iter 276: loss 3.3028, time 333.81ms, mfu 0.05%
iter 277: loss 3.3592, time 290.49ms, mfu 0.05%
iter 278: loss 3.3376, time 345.30ms, mfu 0.05%
iter 279: loss 3.2802, time 338.96ms, mfu 0.05%
iter 280: loss 3.3903, time 288.98ms, mfu 0.05%
iter 281: loss 3.3009, time 287.86ms, mfu 0.05%
iter 282: loss 3.3097, time 386.22ms, mfu 0.05%
iter 283: loss 3.4311, time 273.74ms, mfu 0.05%
iter 284: loss 3.3637, time 307.59ms, mfu 0.05%
iter 285: loss 3.2845, time 292.51ms, mfu 0.05%
