Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = adamw
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
iter 194: loss 2.3899, time 352.15ms, mfu 0.05%
iter 195: loss 2.3730, time 337.73ms, mfu 0.05%
iter 196: loss 2.2610, time 352.09ms, mfu 0.05%
iter 197: loss 2.4683, time 316.70ms, mfu 0.05%
iter 198: loss 2.3345, time 321.91ms, mfu 0.05%
iter 199: loss 2.3680, time 379.66ms, mfu 0.05%
iter 200: loss 2.2382, time 363.35ms, mfu 0.05%
iter 201: loss 2.2112, time 314.73ms, mfu 0.05%
iter 202: loss 2.3199, time 363.53ms, mfu 0.05%
iter 203: loss 2.4009, time 353.62ms, mfu 0.05%
iter 204: loss 2.3479, time 333.80ms, mfu 0.05%
iter 205: loss 2.3558, time 339.27ms, mfu 0.05%
iter 206: loss 2.3994, time 316.73ms, mfu 0.05%
iter 207: loss 2.3354, time 310.43ms, mfu 0.05%
iter 208: loss 2.3869, time 345.38ms, mfu 0.05%
iter 209: loss 2.2739, time 338.04ms, mfu 0.05%
iter 210: loss 2.3022, time 378.31ms, mfu 0.05%
iter 211: loss 2.1980, time 401.92ms, mfu 0.05%
iter 212: loss 2.2264, time 368.37ms, mfu 0.05%
iter 213: loss 2.3015, time 320.39ms, mfu 0.05%
iter 214: loss 2.4191, time 314.35ms, mfu 0.05%
iter 215: loss 2.2965, time 365.22ms, mfu 0.05%
iter 216: loss 2.2226, time 289.18ms, mfu 0.05%
iter 217: loss 2.2535, time 337.57ms, mfu 0.05%
iter 218: loss 2.2796, time 364.94ms, mfu 0.05%
iter 219: loss 2.2080, time 349.01ms, mfu 0.05%
iter 220: loss 2.2916, time 373.47ms, mfu 0.05%
iter 221: loss 2.2746, time 357.51ms, mfu 0.05%
iter 222: loss 2.2936, time 327.76ms, mfu 0.05%
iter 223: loss 2.3528, time 341.01ms, mfu 0.05%
iter 224: loss 2.2962, time 315.65ms, mfu 0.05%
iter 225: loss 2.2873, time 324.04ms, mfu 0.05%
iter 226: loss 2.3098, time 345.94ms, mfu 0.05%
iter 227: loss 2.3239, time 376.00ms, mfu 0.05%
iter 228: loss 2.2694, time 312.29ms, mfu 0.05%
iter 229: loss 2.2023, time 331.35ms, mfu 0.05%
iter 230: loss 2.2641, time 353.19ms, mfu 0.05%
iter 231: loss 2.3356, time 323.29ms, mfu 0.05%
iter 232: loss 2.3273, time 365.66ms, mfu 0.05%
iter 233: loss 2.3269, time 365.53ms, mfu 0.05%
iter 234: loss 2.2948, time 320.90ms, mfu 0.05%
iter 235: loss 2.2929, time 315.22ms, mfu 0.05%
iter 236: loss 2.2297, time 285.44ms, mfu 0.05%
iter 237: loss 2.3050, time 367.22ms, mfu 0.05%
iter 238: loss 2.3576, time 307.45ms, mfu 0.05%
iter 239: loss 2.2853, time 347.01ms, mfu 0.05%
iter 240: loss 2.2929, time 330.11ms, mfu 0.05%
iter 241: loss 2.2961, time 338.61ms, mfu 0.05%
iter 242: loss 2.2594, time 351.60ms, mfu 0.05%
iter 243: loss 2.2948, time 361.62ms, mfu 0.05%
iter 244: loss 2.2176, time 372.09ms, mfu 0.05%
iter 245: loss 2.2632, time 350.09ms, mfu 0.05%
iter 246: loss 2.2286, time 296.91ms, mfu 0.05%
iter 247: loss 2.2177, time 313.38ms, mfu 0.05%
iter 248: loss 2.3030, time 317.19ms, mfu 0.05%
iter 249: loss 2.2110, time 323.48ms, mfu 0.05%
step 250: train loss 2.2865, val loss 2.2838
saving checkpoint to out-shakespeare-char
iter 250: loss 2.2505, time 4907.67ms, mfu 0.04%
iter 251: loss 2.2429, time 343.86ms, mfu 0.04%
iter 252: loss 2.3499, time 333.88ms, mfu 0.04%
iter 253: loss 2.2275, time 349.26ms, mfu 0.05%
iter 254: loss 2.1030, time 325.63ms, mfu 0.05%
iter 255: loss 2.1987, time 326.44ms, mfu 0.05%
iter 256: loss 2.2084, time 334.88ms, mfu 0.05%
iter 257: loss 2.2200, time 373.23ms, mfu 0.05%
iter 258: loss 2.2447, time 337.76ms, mfu 0.05%
iter 259: loss 2.3400, time 396.82ms, mfu 0.05%
iter 260: loss 2.2731, time 350.06ms, mfu 0.05%
iter 261: loss 2.2236, time 323.06ms, mfu 0.05%
iter 262: loss 2.0980, time 341.55ms, mfu 0.05%
iter 263: loss 2.2417, time 364.44ms, mfu 0.05%
iter 264: loss 2.2589, time 343.84ms, mfu 0.05%
iter 265: loss 2.2846, time 338.43ms, mfu 0.05%
iter 266: loss 2.2050, time 333.24ms, mfu 0.05%
iter 267: loss 2.3036, time 364.54ms, mfu 0.05%
iter 268: loss 2.2064, time 374.36ms, mfu 0.05%
iter 269: loss 2.2346, time 332.18ms, mfu 0.05%
iter 270: loss 2.2457, time 317.62ms, mfu 0.05%
iter 271: loss 2.2390, time 340.09ms, mfu 0.05%
iter 272: loss 2.3027, time 306.59ms, mfu 0.05%
iter 273: loss 2.2434, time 294.06ms, mfu 0.05%
iter 274: loss 2.2407, time 367.57ms, mfu 0.05%
iter 275: loss 2.2583, time 323.37ms, mfu 0.05%
iter 276: loss 2.3390, time 328.95ms, mfu 0.05%
iter 277: loss 2.2999, time 320.20ms, mfu 0.05%
iter 278: loss 2.2684, time 371.03ms, mfu 0.05%
iter 279: loss 2.1782, time 346.62ms, mfu 0.05%
iter 280: loss 2.2582, time 308.60ms, mfu 0.05%
iter 281: loss 2.2179, time 303.55ms, mfu 0.05%
iter 282: loss 2.2229, time 348.19ms, mfu 0.05%
iter 283: loss 2.2548, time 342.26ms, mfu 0.05%
iter 284: loss 2.2658, time 312.96ms, mfu 0.05%
iter 285: loss 2.3070, time 284.45ms, mfu 0.05%
iter 286: loss 2.1964, time 364.74ms, mfu 0.05%
iter 287: loss 2.1869, time 410.84ms, mfu 0.05%
iter 288: loss 2.2489, time 363.19ms, mfu 0.05%
iter 289: loss 2.1809, time 317.30ms, mfu 0.05%
iter 290: loss 2.2349, time 385.88ms, mfu 0.05%
iter 291: loss 2.2703, time 357.90ms, mfu 0.05%
iter 292: loss 2.2323, time 330.13ms, mfu 0.05%
iter 293: loss 2.2213, time 319.01ms, mfu 0.05%
iter 294: loss 2.2650, time 322.47ms, mfu 0.05%
iter 295: loss 2.2621, time 344.76ms, mfu 0.05%
iter 296: loss 2.2383, time 384.63ms, mfu 0.05%
iter 297: loss 2.1561, time 338.41ms, mfu 0.05%
iter 298: loss 2.2545, time 319.09ms, mfu 0.05%
iter 299: loss 2.1847, time 391.74ms, mfu 0.05%
iter 300: loss 2.3434, time 339.23ms, mfu 0.05%
iter 301: loss 2.1534, time 375.10ms, mfu 0.05%
iter 302: loss 2.1484, time 315.62ms, mfu 0.05%
iter 303: loss 2.2029, time 388.19ms, mfu 0.05%
iter 304: loss 2.1366, time 296.23ms, mfu 0.05%
iter 305: loss 2.1829, time 325.25ms, mfu 0.05%
iter 306: loss 2.2670, time 386.29ms, mfu 0.05%
iter 307: loss 2.2771, time 385.37ms, mfu 0.05%
iter 308: loss 2.0989, time 364.90ms, mfu 0.05%
iter 309: loss 2.1534, time 336.07ms, mfu 0.05%
iter 310: loss 2.1634, time 357.84ms, mfu 0.05%
iter 311: loss 2.1824, time 343.79ms, mfu 0.05%
iter 312: loss 2.2893, time 350.64ms, mfu 0.05%
iter 313: loss 2.3623, time 290.22ms, mfu 0.05%
iter 314: loss 2.1388, time 324.15ms, mfu 0.05%
iter 315: loss 2.3243, time 384.16ms, mfu 0.05%
iter 316: loss 2.1799, time 333.64ms, mfu 0.05%
iter 317: loss 2.2299, time 325.60ms, mfu 0.05%
iter 318: loss 2.3015, time 383.49ms, mfu 0.05%
iter 319: loss 2.1832, time 297.06ms, mfu 0.05%
iter 320: loss 2.2533, time 317.92ms, mfu 0.05%
iter 321: loss 2.2284, time 341.07ms, mfu 0.05%
iter 322: loss 2.1445, time 334.29ms, mfu 0.05%
iter 323: loss 2.2454, time 383.86ms, mfu 0.05%
iter 324: loss 2.2683, time 356.90ms, mfu 0.05%
iter 325: loss 2.2485, time 326.70ms, mfu 0.05%
iter 326: loss 2.2502, time 310.05ms, mfu 0.05%
iter 327: loss 2.1500, time 335.50ms, mfu 0.05%
iter 328: loss 2.2097, time 329.05ms, mfu 0.05%
iter 329: loss 2.1320, time 382.43ms, mfu 0.05%
iter 330: loss 2.2470, time 351.84ms, mfu 0.05%
iter 331: loss 2.1742, time 322.55ms, mfu 0.05%
iter 332: loss 2.1463, time 353.93ms, mfu 0.05%
iter 333: loss 2.1158, time 289.18ms, mfu 0.05%
iter 334: loss 2.0855, time 324.30ms, mfu 0.05%
iter 335: loss 2.1265, time 351.92ms, mfu 0.05%
iter 336: loss 2.1826, time 320.99ms, mfu 0.05%
iter 337: loss 2.2086, time 347.75ms, mfu 0.05%
iter 338: loss 2.1030, time 347.14ms, mfu 0.05%
iter 339: loss 2.1276, time 331.34ms, mfu 0.05%
